ReportedSource,ProductTier2Map,OperationalCategorizationTier2,CustomerSiteMap,SubmitHours24,Priority
Email,AppIM,Software,Site5,13,Medium
Phone,Printer,Service,Site1,13,Critical
Email,Notebook,Hardware,Site2,13,Medium
Email,AppIM,Software,Site5,13,Medium
Email,IntranetHO,Service,Site4,11,Medium
Phone,ProcessingUnit,Service,Site4,10,Medium
Phone,Printer,Service,Site3,10,Medium
Phone,Browser,Software,Site2,10,Medium
Phone,PCDesktop,Hardware,Site4,10,Medium
Phone,IntranetDC1,Network,Site5,10,Critical
Phone,IntranetHO,Network,Site4,10,Medium
Phone,PCDesktop,Hardware,Site4,10,Medium
Phone,Monitor,Software,Site1,10,Medium
Phone,AppIM,Functionality,Site1,10,High
Phone,AppIM,Service,Site18,9,Medium
Phone,IntranetHO,Network,Site4,9,High
Phone,AppSystem,Service,Site1,9,Medium
Phone,ProcessingUnit,Functionality,Site5,9,Medium
Phone,Printer,Hardware,Site2,9,Medium
Phone,Printer,Functionality,Site4,9,Medium
Phone,IPPhone,Telecommunication,Site1,9,Medium
Phone,IntranetDC1,Functionality,Site5,8,Medium
Phone,IntranetDC2,Network,Site1,8,Medium
Phone,Browser,Software,Site4,8,Medium
Phone,PCDesktop,Hardware,Site4,8,Medium
Phone,Peripheral,Service,Site4,7,Critical
Email,Infrastructure,Service,Site1,7,High
Phone,Printer,Service,Site2,7,High
Phone,Printer,Service,Site2,17,Medium
Phone,Printer,Service,Site2,17,Medium
Phone,Printer,Service,Site2,17,Medium
Phone,Printer,Service,Site2,17,Medium
Phone,Printer,Service,Site3,17,Medium
Phone,Printer,Service,Site4,17,Medium
Email,VideoConf,Telecommunication,Site32,17,High
Phone,PCDesktop,Hardware,Site1,16,High
Phone,Printer,Hardware,Site4,16,Medium
Phone,AppIM,Software,Site1,15,Medium
Phone,IntranetDC1,Network,Site1,15,High
Phone,Printer,Hardware,Site2,15,High
Email,IPPhone,Telecommunication,Site32,14,Medium
Phone,IntranetDC1,Performance,Site5,14,High
Phone,IntranetDC2,Network,Site1,14,High
Phone,Printer,Service,Site3,14,Critical
Phone,Printer,Functionality,Site4,13,Medium
Email,AppBK,Functionality,Site12,13,High
Phone,Printer,Service,Site5,12,High
Email,IntranetSO,Functionality,Site4,11,High
Phone,Infrastructure,Software,Site4,11,Medium
Email,IntranetDC1,Network,Site5,11,Critical
Phone,IPPhone,Telecommunication,Site35,11,Medium
Email,IPPhone,Account,Site1,11,High
Phone,IntranetDC2,Functionality,Site2,10,High
Phone,IntranetHO,Functionality,Site4,10,Medium
Phone,Printer,Service,Site4,10,Medium
Phone,IPPhone,Telecommunication,Site1,9,Medium
Phone,Browser,Software,Site10,9,High
Email,IPPhone,Telecommunication,Site9,9,Medium
Email,AppBK,Software,Site9,9,Medium
Phone,Browser,Software,Site5,9,High
Phone,Infrastructure,Service,Site4,9,Critical
Phone,IPPhone,Telecommunication,Site1,9,Critical
Phone,IntranetDC1,Network,Site5,9,High
Phone,AppSystem,Software,Site23,9,Medium
Phone,Printer,Hardware,Site1,9,Medium
Phone,Printer,Hardware,Site5,9,Medium
Email,IPPhone,Telecommunication,Site1,8,Medium
Phone,IntranetDC2,Network,Site4,8,High
Phone,PCDesktop,Hardware,Site1,8,Medium
Email,VideoConf,Telecommunication,Site5,8,Medium
Phone,Printer,Functionality,Site4,8,Medium
Phone,IntranetDC1,Functionality,Site5,8,Medium
Phone,IntranetDC2,Network,Site5,17,High
Email,VideoConf,Telecommunication,Site5,17,Medium
Email,VideoConf,Service,Site3,17,Medium
Phone,AppBK,Software,Site1,16,Medium
Phone,Printer,Hardware,Site5,16,High
Email,AppIM,Software,Site1,15,High
Phone,IntranetDC2,Network,Site1,15,Medium
Phone,IntranetDC2,Network,Site1,15,Medium
Phone,Printer,Hardware,Site5,15,High
Phone,IPPhone,Telecommunication,Site5,14,Medium
Phone,ProcessingUnit,Software,Site4,14,Critical
Email,IPPhone,Service,Site4,13,Medium
Email,IPPhone,Telecommunication,Site1,13,Critical
Phone,ProcessingUnit,Hardware,Site2,13,Medium
Phone,PCDesktop,Hardware,Site2,13,Medium
Phone,Peripheral,Account,Site4,13,Medium
Phone,AppIM,Software,Site23,13,Critical
Phone,Infrastructure,Software,Site5,13,High
Phone,IntranetDC1,Network,Site5,11,High
Phone,AppSystem,Software,Site4,11,Medium
Phone,OSClient,Software,Site4,10,High
Email,AppIM,Service,Site31,10,Medium
Phone,AppIM,Software,Site5,10,Medium
Phone,Monitor,Service,Site4,10,Medium
Phone,IntranetSO,Network,Site20,10,Medium
